strategy,beam_size,bleu,latency_sec,throughput_sps,num_sentences
greedy,0,1.024329361613568,0.0028469354678422975,351.2548883863193,195
beam_4,4,1.0330817220970643,0.25306753500913964,3.951514365380311,195
beam_8,8,0.8715581219768175,0.6182127708043808,1.6175660666130545,195
