epoch,train_loss,valid_loss,bleu,teacher_forcing,time_sec
1,6.388050556182861,8.173574388027191,0.18635203647628587,1.0,41.11404252052307
2,5.662073135375977,7.934876322746277,0.18740682551430135,0.95,40.033613204956055
3,5.387025833129883,7.7404396533966064,0.28049189498653904,0.8999999999999999,39.591798305511475
4,5.215568542480469,7.29219126701355,0.28228698301309535,0.8499999999999999,40.08599042892456
5,5.127530097961426,7.068208456039429,0.32993220051047245,0.7999999999999998,40.035683393478394
6,5.072855472564697,6.901537001132965,0.3795790519916779,0.7499999999999998,39.96306324005127
7,5.017050743103027,6.886427044868469,0.38862210900892274,0.6999999999999997,39.93788933753967
8,5.001987457275391,6.758304059505463,0.41111128714095707,0.6499999999999997,39.988253355026245
9,4.999298095703125,6.665253221988678,0.6919400650296079,0.5999999999999996,39.641485929489136
10,5.002246379852295,6.624163508415222,0.8839155662741147,0.5499999999999996,40.2537055015564
11,5.016885757446289,6.568371534347534,1.0258604352299798,0.4999999999999996,39.64290237426758
12,5.030547142028809,6.4883710741996765,1.0443013591549952,0.4499999999999996,39.48941087722778
13,5.059749126434326,6.455915868282318,0.9248592867224619,0.39999999999999963,39.5927414894104
14,5.063285827636719,6.4216766357421875,0.7332785649150835,0.34999999999999964,39.2377233505249
15,5.091530799865723,6.37588757276535,0.8892938090187376,0.29999999999999966,40.05473351478577
16,5.115848064422607,6.3521034717559814,1.0189370247457639,0.24999999999999967,40.04189658164978
17,5.1395792961120605,6.334588050842285,0.8848075785792732,0.19999999999999968,39.60408902168274
18,5.177691459655762,6.29409795999527,0.6983853479817236,0.1499999999999997,39.950079917907715
19,5.218983173370361,6.292900860309601,0.8505197885817282,0.09999999999999969,40.082998514175415
20,5.219148635864258,6.2733787298202515,0.9457452487367963,0.049999999999999684,39.50250196456909
